price,latitude,longitude,surface_area,num_of_room,floor,num_floors_in_building,finish_condition,form_of_property,balcony_garden_terrace,parking_space,heating
1730000,52.2288374,21.0051571,49.0,2,3,4,for living,full ownership,Balcony,garage/parking space,municipal
850000,52.27414,20.96259,55.3,3,4,4,for living,,Balcony,,municipal
,52.32493,20.95183,98.85,4,3,3,for finishing,full ownership,"Balcony, Terrace",garage/parking space,
,52.2069978,20.8806564,62.51,4,2,7,for finishing,full ownership,Balcony,garage/parking space,
751000,52.2507712,21.0337297,33.87,1,4,7,for finishing,full ownership,Balcony,garage/parking space,
739000,52.1888495,21.0501519,50.0,3,3,4,for living,full ownership,Balcony,,municipal
690000,52.2457174,21.1891564,53.0,2,1,3,,full ownership,Balcony,garage/parking space,
1120000,52.2435,21.0877,71.0,3,2,6,for living,full ownership,Balcony,garage/parking space,municipal
742835,52.3202887,20.996522,58.75,3,0,5,for finishing,full ownership,"Terrace, Garden",garage/parking space,
,52.45968,21.03804,49.44,2,0,4,for finishing,full ownership,"Terrace, Garden",garage/parking space,
674000,52.1968194,20.963236,39.47,2,5,8,for finishing,full ownership,,,municipal
690000,52.2457174,21.1891564,53.0,2,1,3,,full ownership,Balcony,garage/parking space,
1120000,52.2435,21.0877,71.0,3,2,6,for living,full ownership,Balcony,garage/parking space,municipal
764920,52.23338,20.95718,29.42,1,3,8,for living,full ownership,Balcony,garage/parking space,municipal
1751000,52.18191,21.02651,87.6,4,6,18,for living,full ownership,,garage/parking space,
,52.2069978,20.8806564,64.0,4,4,7,for finishing,full ownership,Balcony,garage/parking space,
,52.1954306,20.9613134,53.29,2,1,10,for finishing,full ownership,,garage/parking space,
,52.172792,20.9941018,118.15,5,2,8,for finishing,full ownership,,garage/parking space,
2008001,52.1581267,21.0830132,105.01,4,0,4,for finishing,full ownership,"Terrace, Garden",garage/parking space,
,52.15751,21.199276,76.93,4,2,5,for finishing,perpetual usufruct / lease 29,Balcony,,municipal
881576,52.13747,20.93791,107.3,4,0,3,for finishing,full ownership,Garden,garage/parking space,gas
1127950,52.1993046,20.8788704,87.71,4,1,7,for finishing,full ownership,Terrace,garage/parking space,
,52.23134,21.09256,70.91,3,1,7,for finishing,full ownership,,garage/parking space,
,52.0967613,21.0446222,59.36,3,3,3,for finishing,full ownership,Balcony,garage/parking space,
,52.1935327,20.9295643,55.94,3,6,6,for finishing,full ownership,Balcony,garage/parking space,
,52.2170473,21.2454154,80.88,5,2,2,for finishing,full ownership,,garage/parking space,
,52.2767228,21.0140694,79.43,4,2,7,for finishing,full ownership,,garage/parking space,
,52.167578,21.171237,74.35,3,1,1,for finishing,full ownership,"Balcony, Garden",,
,52.1566353,21.1895176,75.0,3,0,1,for finishing,full ownership,Garden,,
,52.2723551,21.0832801,56.89,3,1,3,for finishing,full ownership,Balcony,garage/parking space,
560340,52.0874604,20.8437038,50.94,2,3,3,for finishing,full ownership,,garage/parking space,
,52.1154104,20.9737838,78.01,4,2,3,for finishing,full ownership,Balcony,garage/parking space,
,52.1086796,21.2832897,34.41,2,0,2,for finishing,full ownership,Garden,garage/parking space,
,52.1927922,20.8618092,60.7,3,1,11,for finishing,full ownership,Balcony,garage/parking space,
601155,52.208396,20.8041528,54.9,3,0,3,for finishing,full ownership,Garden,garage/parking space,
,52.1646075,20.7999465,64.01,3,4,4,for finishing,full ownership,Terrace,garage/parking space,
,52.1699645,20.9934698,57.85,2,0,5,for finishing,full ownership,Garden,garage/parking space,
840000,52.1764506,20.9935391,37.58,2,12,12,for living,full ownership,"Balcony, Terrace",,municipal
1079000,52.32129,21.10589,120.0,6,1,2,for living,full ownership,"Balcony, Garden",garage/parking space,gas
601155,52.208396,20.8041528,54.9,3,0,3,for finishing,full ownership,Garden,garage/parking space,
,52.1646075,20.7999465,64.01,3,4,4,for finishing,full ownership,Terrace,garage/parking space,
790000,52.2453373,20.9624586,35.0,1,4,7,for living,full ownership,Balcony,garage/parking space,municipal
590000,52.27946,21.12802,43.19,2,1,4,,full ownership,Balcony,garage/parking space,municipal
1860000,52.2333984,21.0368378,59.83,2,1,12,for living,full ownership,Terrace,garage/parking space,municipal
964250,52.207665,20.9274244,66.5,3,1,2,for finishing,,Balcony,garage/parking space,gas
525000,52.12458,20.66721,45.03,3,3,4,for living,full ownership,,,
1299000,52.0921069,21.0508817,107.42,4,2,2,for living,full ownership,Balcony,garage/parking space,municipal
990000,52.12489,20.759901,114.7,4,1,1,for finishing,full ownership,,garage/parking space,gas
859000,52.2379287,21.0982562,71.5,3,7,11,for renovation,,,,municipal
,52.2604295,21.0390003,25.52,1,0,7,for finishing,full ownership,,,
625000,52.3296983,20.9455248,41.5,1,1,4,for living,full ownership,"Balcony, Garden",garage/parking space,boiler room
748000,52.2507712,21.0337297,33.74,1,4,7,for finishing,full ownership,Balcony,garage/parking space,
799000,52.22921,20.91155,53.5,2,3,4,for living,full ownership,Balcony,garage/parking space,municipal
728000,52.2251283,20.9782803,32.26,2,0,7,for finishing,full ownership,Balcony,garage/parking space,municipal
1890000,52.18477,21.01024,76.0,3,1,6,for living,full ownership,"Balcony, Terrace",garage/parking space,municipal
2600000,52.2251283,20.9782803,113.26,4,6,8,for living,full ownership,Balcony,,municipal
409000,52.1834017,20.9765486,19.5,1,0,4,for living,cooperative ownership right to the premises,"Balcony, Garden",,municipal
